Segment_ID,Curvature_Type,RX_Horizontal_Sum,LX_Horizontal_Sum,RX_Vertical_Sum,LX_Vertical_Sum
Straight_92,Straight,-1.06,-0.8899999999999999,-19.4,-18.959999999999997
Left_93,Left,0.13999999999999999,1.2,-36.09,-38.629999999999995
Straight_94,Straight,0.29000000000000004,0.6499999999999999,-22.18,-24.580000000000002
Straight_95,Straight,1.22,0.49,-6.029999999999999,-5.35
Straight_96,Straight,4.68,1.08,-5.57,-10.15
Straight_97,Straight,6.32,1.1400000000000001,-7.0,-10.66
Straight_98,Straight,7.300000000000001,1.28,-6.46,-8.71
Straight_99,Straight,7.73,1.0,-6.47,-10.16
Straight_100,Straight,8.25,0.96,-6.830000000000001,-9.88
Straight_101,Straight,8.46,0.9000000000000001,-7.359999999999999,-10.28
Straight_102,Straight,8.299999999999999,1.52,-6.78,-9.84
Straight_103,Straight,8.03,1.38,-6.880000000000001,-10.09
Straight_104,Straight,7.42,0.6200000000000001,-5.57,-9.32
Straight_105,Straight,7.39,0.74,-6.58,-9.450000000000001
Straight_106,Straight,6.639999999999999,0.81,-7.24,-10.37
Straight_107,Straight,6.66,0.9200000000000002,-7.279999999999999,-9.9
Left_108,Left,5.59,0.66,-6.340000000000001,-9.0
Left_109,Left,1.79,-0.52,-6.989999999999999,-2.83
Straight_110,Straight,1.5399999999999998,0.99,-8.02,-2.45
Left_111,Left,0.8099999999999999,0.27,-4.7700000000000005,-2.6399999999999997
Left_112,Left,1.2100000000000002,1.37,-5.97,-2.3600000000000003
Left_113,Left,0.79,3.95,-9.219999999999999,-1.1199999999999999
Left_114,Left,0.77,6.15,-10.43,-1.9500000000000002
Straight_115,Straight,0.4,6.609999999999999,-11.53,-2.5300000000000002
Straight_116,Straight,0.77,5.96,-10.149999999999999,-2.2
Left_117,Left,1.13,7.279999999999999,-11.4,-2.88
Left_118,Left,1.02,7.24,-11.33,-2.15
Left_119,Left,1.29,7.68,-11.69,-3.8800000000000003
Straight_120,Straight,0.43,3.35,-4.68,-1.4300000000000002
Straight_121,Straight,1.43,7.08,-10.239999999999998,-3.83
Straight_122,Straight,2.5,6.859999999999999,-10.81,-3.78
Straight_123,Straight,0.8899999999999999,3.91,-6.710000000000001,-2.7199999999999998
Straight_124,Straight,0.72,6.569999999999999,-12.019999999999998,-3.6299999999999994
Right_125,Right,0.060000000000000026,5.879999999999999,-11.870000000000001,-3.37
Straight_126,Straight,1.81,6.0600000000000005,-13.56,-3.4
Right_127,Right,-2.05,6.16,-12.81,-3.6500000000000004
Right_128,Right,0.020000000000000018,6.36,-12.219999999999999,-4.109999999999999
Straight_129,Straight,0.51,5.71,-13.780000000000001,-3.3499999999999996
Right_130,Right,1.4000000000000001,5.75,-12.89,-3.1899999999999995
Right_131,Right,2.62,5.1000000000000005,-10.610000000000001,-3.03
Straight_132,Straight,1.13,3.21,-6.83,-1.75
Straight_133,Straight,1.58,2.41,-7.6499999999999995,-2.87
Right_134,Right,0.03,0.9400000000000001,-1.0,-2.68
Right_135,Right,1.02,6.369999999999999,-12.400000000000002,-4.95
Right_136,Right,1.96,1.6600000000000001,-3.4699999999999998,-2.9000000000000004
Right_137,Right,1.2499999999999998,-0.039999999999999994,-0.6100000000000001,-2.45
Right_138,Right,1.35,-0.47,-0.71,-1.22
Straight_139,Straight,1.65,-0.51,-1.2,-1.85
Right_140,Right,1.9,0.2,-4.6499999999999995,-2.0300000000000002
Right_141,Right,0.7600000000000001,2.69,-12.68,-3.8
Straight_142,Straight,0.78,2.8899999999999997,-15.9,-5.8999999999999995
Right_143,Right,0.26,0.99,-8.42,-3.1100000000000003
Straight_144,Straight,-2.3699999999999997,2.58,-8.52,-3.87
Straight_145,Straight,0.36,2.9799999999999995,-4.9799999999999995,-2.71
Right_146,Right,0.82,1.5799999999999998,-5.710000000000001,-4.55
Straight_147,Straight,1.89,0.32999999999999996,-6.15,-8.4
Straight_148,Straight,4.959999999999999,-0.06999999999999999,-8.11,-11.700000000000001
Straight_149,Straight,5.18,0.89,-9.19,-11.34
Straight_150,Straight,4.24,1.29,-8.38,-10.17
Straight_151,Straight,2.71,0.46,-9.39,-5.9399999999999995
Right_152,Right,0.59,-0.45999999999999996,-6.410000000000001,-4.83
Right_153,Right,-7.62,-10.17,15.600000000000001,-14.059999999999999
Right_154,Right,-8.02,1.7,16.8,-11.790000000000001
